success,side,trial_id,random_seed,elapsed_seconds,hidden_width,hidden_layers,dropout_probability,batch_size,learning_rate,weight_decay,identity_penalty,smoothness_penalty,odd_component_penalty,maximum_even_log_scale,maximum_odd_log_scale,maximum_total_log_scale,maximum_epochs,patience,score,validation_nll,mean_before,mean_after,width_before,width_after,width_ratio,boundary_fraction,best_epoch
True,0,0,12345,13.528482675552368,8,2,0.0,256,0.001,0.0002,20.0,100.0,30.0,0.02,0.01,0.03,300,35,-2.9165154500547423,-2.9239849405828426,0.49878358840942383,0.4976408779621124,0.011812799610197544,0.011514324694871902,0.9747329231702213,0.0,3
True,0,1,12346,36.80181860923767,24,2,0.0,256,0.001,0.005,50.0,100.0,30.0,0.015,0.015,0.04,300,35,-2.9694993717889284,-2.971909351132349,0.49878358840942383,0.49760136008262634,0.011812799610197544,0.011319104582071304,0.9582067719408317,0.0,49
True,0,2,12347,19.304321765899658,16,1,0.0,256,0.002,0.0002,100.0,100.0,30.0,0.01,0.01,0.04,300,35,-2.9215905791302585,-2.9532297531147798,0.49878358840942383,0.4977375566959381,0.011812799610197544,0.011460881680250168,0.9702087615501765,0.0,11
True,0,3,12348,8.787744760513306,8,3,0.1,512,0.002,0.001,20.0,300.0,10.0,0.02,0.015,0.03,300,35,-2.9086191197933693,-2.9259228097500407,0.49878358840942383,0.49754178524017334,0.011812799610197544,0.011487485840916634,0.9724609085046969,0.0,3
True,0,4,12349,14.130377292633057,32,3,0.1,256,0.002,0.0002,100.0,20.0,30.0,0.01,0.01,0.03,300,35,-2.9326149586182866,-2.932633868549463,0.49878358840942383,0.49761107563972473,0.011812799610197544,0.01146041788160801,0.9701694991689068,0.0,1
True,0,5,12350,52.93671250343323,24,2,0.05,128,0.0003,0.005,20.0,300.0,10.0,0.015,0.02,0.04,300,35,-2.9519659373491125,-2.9697092115610024,0.49878358840942383,0.49754002690315247,0.011812799610197544,0.011314736679196358,0.9578370117638136,0.0,78
True,0,6,12351,31.19428849220276,32,2,0.0,128,0.001,0.005,100.0,300.0,2.0,0.01,0.01,0.04,300,35,-2.9341337551965263,-2.9377810978784047,0.49878358840942383,0.49762558937072754,0.011812799610197544,0.011479426175355911,0.9717786260799816,0.0,1
True,0,7,12352,13.549455404281616,8,3,0.1,128,0.002,0.0002,100.0,20.0,10.0,0.01,0.02,0.03,300,35,-2.9244946138355843,-2.9564988662693548,0.49878358840942383,0.4977390170097351,0.011812799610197544,0.011423010379076004,0.9670028067872201,0.0,6
True,0,8,12353,20.25161337852478,32,1,0.05,512,0.0003,0.001,20.0,20.0,2.0,0.01,0.015,0.03,300,35,-2.9266024535353137,-2.9427295187170395,0.49878358840942383,0.49767550826072693,0.011812799610197544,0.0114434864372015,0.9687361857321926,0.0,40
True,0,9,12354,22.96390962600708,32,2,0.05,512,0.002,0.0002,50.0,300.0,30.0,0.015,0.02,0.04,300,35,-2.974308169457664,-2.9761966081593,0.49878358840942383,0.4976034462451935,0.011812799610197544,0.011261348612606525,0.9533175017110278,0.0,62
True,0,10,12355,37.81605911254883,32,3,0.05,128,0.001,0.001,20.0,300.0,30.0,0.01,0.01,0.02,300,35,-2.9221252532046003,-2.935487586025499,0.49878358840942383,0.49755755066871643,0.011812799610197544,0.011429490521550179,0.9675513763632738,0.0,1
True,0,11,12356,13.432987451553345,32,3,0.0,512,0.002,0.0002,50.0,20.0,30.0,0.01,0.015,0.02,300,35,-2.927970129339554,-2.9378157881187046,0.49878358840942383,0.4975716173648834,0.011812799610197544,0.011451620608568192,0.9694247753667504,0.0,3
True,0,12,12357,47.18409061431885,16,3,0.1,128,0.0003,0.001,100.0,20.0,30.0,0.01,0.02,0.03,300,35,-2.913784027106891,-2.952188328273419,0.49878358840942383,0.49776461720466614,0.011812799610197544,0.01147871371358633,0.9717183133858625,0.0,19
True,0,13,12358,21.372779607772827,8,3,0.05,512,0.0003,0.0002,20.0,100.0,10.0,0.015,0.02,0.02,300,35,-2.922428684217147,-2.9252713641945576,0.49878358840942383,0.49762237071990967,0.011812799610197544,0.011498193256556988,0.9733673333991911,0.0,29
